brand,rating,totalReviews
Samsung,3.5,1
Samsung,3.5,180
Samsung,2.8,230
Samsung,3.3,26
Samsung,3.6,252
Samsung,2.8,327
Samsung,2.6,195
Samsung,3.4,144
Apple,3.2,1
Sony,3.1,4
Samsung,3.2,141
Samsung,3.9,152
Sony,3.2,13
Samsung,3.6,759
OnePlus,4,293
HUAWEI,3.3,2
Samsung,3.3,14
Samsung,3.6,759
Samsung,3.3,14
Motorola,2.9,342
Samsung,3.7,137
Samsung,3.2,67
Samsung,3.6,90
Motorola,3,22
Samsung,3.3,9
Samsung,3.6,169
Samsung,3.2,235
Samsung,2.8,32
Samsung,3.3,20
Samsung,3.9,101
Samsung,2,1
Samsung,3.1,370
Samsung,3.2,62
Samsung,3.9,11
Samsung,3.7,29
Samsung,3.9,44
Motorola,3.5,1
Samsung,3.5,204
Samsung,3.3,41
Samsung,3.8,181
Sony,3.7,433
Sony,4.1,112
Samsung,3.6,10
OnePlus,3.9,166
Samsung,3,52
Motorola,3,1
HUAWEI,4.2,1
Samsung,2.6,12
Samsung,3.8,9
Samsung,3.4,92
Google,4,135
Sony,3.7,245
Apple,3.1,867
Apple,3.8,43
Samsung,3.1,12
Motorola,4.5,4
Samsung,3.5,40
Samsung,4,21
Google,3,26
Samsung,2.8,13
Samsung,3.5,369
Samsung,3.4,56
Samsung,4,111
Samsung,3.3,17
Samsung,4,61
Samsung,4,104
Samsung,3.9,18
HUAWEI,3.8,15
Samsung,3.4,7
Samsung,4,61
Samsung,3.6,41
Sony,3.9,5
Samsung,4.1,54
Motorola,3.5,346
Samsung,3.2,24
Samsung,2.6,5
Samsung,5,1
Samsung,3,23
Sony,4.5,2
Motorola,4.6,9
Motorola,4,165
Motorola,3.3,19
Samsung,4.1,29
Sony,3.9,32
Motorola,3.8,51
Samsung,3,1
Samsung,3.6,77
Samsung,3,1
Samsung,3.6,6
Apple,2.8,14
Motorola,5,3
Samsung,3.2,141
Google,4,19
Apple,4.1,144
Apple,3.7,25
Samsung,3.2,24
Samsung,3.9,32
Samsung,4,39
HUAWEI,4.3,2
Samsung,5,1
Google,3.2,13
Google,3.7,18
Samsung,3.3,3
Samsung,1,1
Samsung,2,1
Samsung,3.8,28
HUAWEI,4.6,15
Samsung,3.5,4
Samsung,4.2,48
Samsung,3.9,5
Samsung,3.9,5
HUAWEI,4.1,66
Samsung,3.7,34
ASUS,2.1,6
Samsung,3.5,7
Motorola,3.7,5
Motorola,2,4
Apple,4.2,60
Samsung,4.2,8
Samsung,4.1,83
Samsung,3.3,7
ASUS,5,1
Motorola,3.4,11
Samsung,3.8,7
Samsung,4.2,25
Samsung,3.7,58
Motorola,3.7,89
Samsung,3.6,35
Samsung,5,7
Samsung,3.6,7
Motorola,3.6,7
Motorola,3.9,7
Samsung,3.9,10
Google,3.7,48
Samsung,3.9,4
Samsung,3.3,17
HUAWEI,4.4,69
Nokia,3.4,10
Samsung,4,2
Motorola,4.2,43
Samsung,3,4
Samsung,3.5,2
Google,4.3,503
Samsung,5,1
Samsung,5,1
Samsung,3.9,4
,,
